1,James,-,Lindholm,Monterey Bay
2,Todd,W,Anderson,San Diego
3,Jeremy,T,Claisse,Pomona
4,Kathryn ,E,Boyer,San Francisco
5,Jonathan,H,Stillman,San Francisco
6,Brian ,N,Tissot,Humboldt
7,Karina,J,Nielsen,San Francisco
8,Cynthia ,S,Cohen,San Francisco
9,Christopher ,G,Lowe,Long Beach
10,Mark ,A,Steele,Northridge
11,Larry,G,Allen,Northridge
12,Michael,H,Graham,San Jose
13,Matthew ,S,Edwards,San Diego
14,Ivano,W,Aiello,San Jose
15,Daniel ,E,Crocker,Sonoma
16,Jeremy ,D,Long,San Diego
17,Kristy ,L,Forsgren,Fullerton
18,Ryan ,P ,Walter,Fullerton
19,Danielle,C,Zacherl,Fullerton
20,Christine ,R,Whitcraft,Long Beach
21,Cheryl ,A,Logan,Monterey Bay
22,Mamta,-,Rawat,Fresno
23,Bengt,J,Allen,Long Beach
24,Paul ,E,Bourdeau,Humboldt
25,Scott,L,Hamilton,San Jose
